season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2024,9,10,cc5597,The Problems,128.23,9,brockhusk,162.26,L,False
2024,10,1,bgreenblatt,Love Thy Nabers,188.39,2,Erjohnson14,125.45,W,False
2024,10,2,Erjohnson14,Johnson’s Lil Johnson,125.45,1,bgreenblatt,188.39,L,False
2024,10,3,MaxSirianni,Joeybagofdonuts2.0,135.5,6,JSanDusky69,138.51,L,False
2024,10,4,jdrobny,Stick in the Mud,115.09,9,brockhusk,114.47,W,False
2024,10,5,kaufmannc,Clownin’ Around,115.71,8,TylerWicks,134.36,L,False
2024,10,6,JSanDusky69,Respect Your Elders,138.51,3,MaxSirianni,135.5,W,False
2024,10,7,KingTowsk,Leeroy Jenkins,137.63,10,cc5597,113.05,W,False
2024,10,8,TylerWicks,Dont stop Bo-lievin’,134.36,5,kaufmannc,115.71,W,False
2024,10,9,brockhusk,Brauk Tua Spit On That,114.47,4,jdrobny,115.09,L,False
